TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
TFAP4	0.524	0.294	2.978	3.217e-03	1.000e+00	-0.000	0.334	0.038	3.665	3.580e-04	2.245e-01	0.649	6.643
PRDM1	-0.060	-0.331	3.133	1.907e-03	1.000e+00	-0.000	0.397	-0.066	3.491	6.938e-04	4.350e-01	0.362	6.624
NKX3-1	0.286	-0.045	3.037	2.700e-03	1.000e+00	-0.000	0.363	-0.077	3.525	5.894e-04	3.696e-01	0.432	6.562
ELF1	0.381	0.027	3.831	1.677e-04	1.052e-01	0.978	0.327	0.007	2.703	7.935e-03	1.000e+00	-0.000	6.534
EP300	0.175	-0.154	2.723	6.929e-03	1.000e+00	-0.000	0.309	-0.317	3.803	2.254e-04	1.413e-01	0.850	6.526
KDM4C	0.237	-0.003	2.288	2.294e-02	1.000e+00	-0.000	0.516	0.015	4.238	4.225e-05	2.649e-02	1.577	6.526
NCOA4	0.462	0.194	3.185	1.640e-03	1.000e+00	-0.000	0.456	0.082	3.324	1.144e-03	7.174e-01	0.144	6.509
NCOA3	0.193	0.037	1.457	1.464e-01	1.000e+00	-0.000	0.457	-0.018	5.033	1.372e-06	8.602e-04	3.065	6.490
ETV3	0.128	-0.052	2.104	3.647e-02	1.000e+00	-0.000	0.489	0.061	4.379	2.510e-05	1.574e-02	1.803	6.483
USF2	0.193	-0.074	3.288	1.166e-03	7.311e-01	0.136	0.366	0.105	3.184	1.791e-03	1.000e+00	-0.000	6.472
FOS	0.320	-0.021	3.734	2.380e-04	1.492e-01	0.826	0.404	0.093	2.668	8.712e-03	1.000e+00	-0.000	6.402
MSX2	0.270	-0.068	3.659	3.136e-04	1.966e-01	0.706	0.283	0.050	2.742	6.930e-03	1.000e+00	-0.000	6.401
TFAP2A	0.313	-0.143	5.592	6.768e-08	4.243e-05	4.372	0.001	-0.062	0.789	4.310e-01	1.000e+00	-0.000	6.381
HDAC9	0.052	-0.191	2.710	7.158e-03	1.000e+00	-0.000	0.303	-0.086	3.634	4.051e-04	2.540e-01	0.595	6.344
REST	0.347	0.118	2.748	6.470e-03	1.000e+00	-0.000	0.277	-0.031	3.485	6.828e-04	4.281e-01	0.368	6.233
IRF7	0.463	0.081	4.688	4.791e-06	3.004e-03	2.522	0.099	-0.039	1.539	1.266e-01	1.000e+00	-0.000	6.227
TWIST2	0.743	0.181	4.686	4.599e-06	2.884e-03	2.540	0.117	-0.101	1.464	1.455e-01	1.000e+00	-0.000	6.150
