TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
RBPJ	-0.142	-0.053	-0.974	3.313e-01	1.000e+00	-0.000	-0.018	0.024	-0.430	6.682e-01	1.000e+00	-0.000	-1.404
SHOX	-0.087	-0.094	0.074	9.411e-01	1.000e+00	-0.000	-0.196	-0.046	-1.501	1.361e-01	1.000e+00	-0.000	-1.427
ZNRD1	-0.258	-0.205	-0.664	5.070e-01	1.000e+00	-0.000	-0.044	0.022	-0.823	4.119e-01	1.000e+00	-0.000	-1.487
NR0B2	-0.147	-0.125	-0.285	7.757e-01	1.000e+00	-0.000	-0.396	-0.256	-1.207	2.297e-01	1.000e+00	-0.000	-1.492
HOXA7	-0.396	-0.095	-2.998	3.015e-03	1.000e+00	-0.000	0.208	0.057	1.463	1.458e-01	1.000e+00	-0.000	-1.535
MEF2C	-0.159	-0.057	-2.508	1.280e-02	1.000e+00	-0.000	0.014	-0.026	0.910	3.647e-01	1.000e+00	-0.000	-1.598
FOSL1	0.044	0.092	-0.570	5.694e-01	1.000e+00	-0.000	-0.108	-0.008	-1.113	2.675e-01	1.000e+00	-0.000	-1.683
CRABP2	0.055	0.023	0.630	5.292e-01	1.000e+00	-0.000	-0.098	0.036	-2.338	2.099e-02	1.000e+00	-0.000	-1.708
ESRRG	-0.046	0.082	-1.959	5.122e-02	1.000e+00	-0.000	-0.003	-0.020	0.221	8.253e-01	1.000e+00	-0.000	-1.738
KLF13	-0.117	0.004	-1.800	7.321e-02	1.000e+00	-0.000	0.040	0.037	0.056	9.558e-01	1.000e+00	-0.000	-1.744
MBD2	0.185	-0.029	2.000	4.660e-02	1.000e+00	-0.000	-0.367	0.058	-3.866	1.779e-04	1.116e-01	0.953	-1.866
NR2F6	-0.184	-0.111	-1.608	1.091e-01	1.000e+00	-0.000	-0.066	-0.051	-0.281	7.790e-01	1.000e+00	-0.000	-1.889
HDAC5	-0.054	0.081	-1.766	7.855e-02	1.000e+00	-0.000	-0.063	-0.053	-0.132	8.949e-01	1.000e+00	-0.000	-1.898
TP73	0.304	0.583	-2.502	1.309e-02	1.000e+00	-0.000	0.179	0.112	0.593	5.545e-01	1.000e+00	-0.000	-1.909
GFI1	-0.009	0.129	-1.314	1.901e-01	1.000e+00	-0.000	-0.024	0.045	-0.651	5.161e-01	1.000e+00	-0.000	-1.965
SMAD7	0.091	0.078	0.129	8.977e-01	1.000e+00	-0.000	-0.145	0.143	-2.242	2.713e-02	1.000e+00	-0.000	-2.113
SOX17	-0.163	-0.081	-0.949	3.437e-01	1.000e+00	-0.000	-0.006	0.089	-1.175	2.422e-01	1.000e+00	-0.000	-2.124
HLF	-0.045	0.084	-2.949	3.496e-03	1.000e+00	-0.000	0.019	-0.015	0.747	4.565e-01	1.000e+00	-0.000	-2.202
NFAT5	-0.104	-0.048	-0.439	6.608e-01	1.000e+00	-0.000	-0.152	0.099	-1.881	6.239e-02	1.000e+00	-0.000	-2.320
LMX1B	-0.290	-0.064	-2.560	1.110e-02	1.000e+00	-0.000	-0.170	-0.185	0.178	8.592e-01	1.000e+00	-0.000	-2.382
IRF2	0.213	0.302	-0.938	3.494e-01	1.000e+00	-0.000	-0.165	-0.039	-1.471	1.435e-01	1.000e+00	-0.000	-2.409
TRIM16	0.085	-0.066	2.370	1.868e-02	1.000e+00	-0.000	-0.609	-0.111	-4.823	3.269e-06	2.050e-03	2.688	-2.453
STAT5B	-0.136	-0.106	-0.338	7.360e-01	1.000e+00	-0.000	-0.373	-0.158	-2.131	3.485e-02	1.000e+00	-0.000	-2.469
CTCFL	0.091	0.209	-1.204	2.297e-01	1.000e+00	-0.000	-0.133	0.016	-1.332	1.849e-01	1.000e+00	-0.000	-2.536
HAND2	-0.180	-0.061	-1.567	1.184e-01	1.000e+00	-0.000	-0.018	0.061	-0.973	3.326e-01	1.000e+00	-0.000	-2.540
MXD1	-0.269	-0.237	-0.834	4.053e-01	1.000e+00	-0.000	-0.159	-0.074	-1.771	7.901e-02	1.000e+00	-0.000	-2.605
HOXB1	-0.020	0.018	-0.330	7.417e-01	1.000e+00	-0.000	-0.166	0.162	-2.377	1.896e-02	1.000e+00	-0.000	-2.707
HOXB13	-0.020	0.018	-0.330	7.417e-01	1.000e+00	-0.000	-0.166	0.162	-2.377	1.896e-02	1.000e+00	-0.000	-2.707
ZIC2	-0.020	0.018	-0.330	7.417e-01	1.000e+00	-0.000	-0.166	0.162	-2.377	1.896e-02	1.000e+00	-0.000	-2.707
RFX5	-0.064	0.165	-1.613	1.082e-01	1.000e+00	-0.000	0.235	0.430	-1.118	2.658e-01	1.000e+00	-0.000	-2.731
JUN	-0.291	-0.042	-2.401	1.719e-02	1.000e+00	-0.000	-0.148	-0.108	-0.342	7.333e-01	1.000e+00	-0.000	-2.743
KLF9	-0.138	-0.158	0.226	8.217e-01	1.000e+00	-0.000	-0.260	0.010	-2.973	3.477e-03	1.000e+00	-0.000	-2.747
SMAD4	0.233	0.282	-0.494	6.215e-01	1.000e+00	-0.000	-0.246	0.033	-2.275	2.485e-02	1.000e+00	-0.000	-2.769
PPARD	-0.227	0.247	-3.973	9.183e-05	5.758e-02	1.240	0.286	0.138	1.185	2.381e-01	1.000e+00	-0.000	-2.788
FOXP2	-0.301	0.056	-3.279	1.205e-03	7.558e-01	0.122	0.077	0.025	0.478	6.335e-01	1.000e+00	-0.000	-2.801
ESRRA	0.054	0.248	-2.179	3.018e-02	1.000e+00	-0.000	0.086	0.173	-0.633	5.278e-01	1.000e+00	-0.000	-2.812
SRF	-0.054	-0.194	1.333	1.840e-01	1.000e+00	-0.000	-0.716	-0.148	-4.167	6.176e-05	3.873e-02	1.412	-2.834
AR	-0.104	0.063	-2.200	2.872e-02	1.000e+00	-0.000	-0.046	0.004	-0.660	5.104e-01	1.000e+00	-0.000	-2.860
AIP	-0.256	-0.231	-0.272	7.856e-01	1.000e+00	-0.000	-0.179	0.126	-2.615	1.000e-02	1.000e+00	-0.000	-2.887
ATM	-0.025	-0.033	0.120	9.046e-01	1.000e+00	-0.000	-0.111	0.175	-3.062	2.683e-03	1.000e+00	-0.000	-2.942
TAF4	-0.094	-0.008	-2.836	4.918e-03	1.000e+00	-0.000	-0.062	-0.058	-0.116	9.080e-01	1.000e+00	-0.000	-2.952
NR2F1	-0.128	0.169	-3.663	2.999e-04	1.881e-01	0.726	0.136	0.074	0.639	5.236e-01	1.000e+00	-0.000	-3.024
MYOG	-0.027	0.049	-1.823	6.973e-02	1.000e+00	-0.000	-0.041	0.014	-1.297	1.971e-01	1.000e+00	-0.000	-3.120
DDB2	-0.282	-0.271	-0.149	8.816e-01	1.000e+00	-0.000	-0.350	-0.091	-3.018	3.063e-03	1.000e+00	-0.000	-3.167
TGIF1	-0.019	0.084	-1.161	2.466e-01	1.000e+00	-0.000	-0.183	-0.002	-2.081	3.924e-02	1.000e+00	-0.000	-3.242
ATF3	0.307	0.221	0.758	4.490e-01	1.000e+00	-0.000	-0.194	0.295	-4.000	1.064e-04	6.672e-02	1.176	-3.242
SPIC	-0.232	-0.167	-1.679	9.441e-02	1.000e+00	-0.000	-0.138	-0.075	-1.596	1.127e-01	1.000e+00	-0.000	-3.275
CREG1	-0.033	0.066	-2.091	3.747e-02	1.000e+00	-0.000	-0.070	0.004	-1.288	1.998e-01	1.000e+00	-0.000	-3.379
TOB1	0.070	0.130	-1.196	2.328e-01	1.000e+00	-0.000	-0.050	0.076	-2.201	2.949e-02	1.000e+00	-0.000	-3.397
SP3	-0.220	0.004	-2.841	4.917e-03	1.000e+00	-0.000	0.134	0.184	-0.558	5.782e-01	1.000e+00	-0.000	-3.399
GATA1	-0.394	-0.209	-2.238	2.601e-02	1.000e+00	-0.000	-0.373	-0.257	-1.170	2.441e-01	1.000e+00	-0.000	-3.408
ZNF239	-0.069	-0.070	0.045	9.641e-01	1.000e+00	-0.000	-0.175	-0.048	-3.580	4.678e-04	2.933e-01	0.533	-3.535
VEZF1	-0.126	-0.065	-1.645	1.012e-01	1.000e+00	-0.000	-0.136	-0.062	-1.894	6.027e-02	1.000e+00	-0.000	-3.539
ATF5	-0.409	0.036	-5.575	5.416e-08	3.396e-05	4.469	0.383	0.190	1.972	5.058e-02	1.000e+00	-0.000	-3.603
ILF2	-0.038	-0.005	-1.041	2.987e-01	1.000e+00	-0.000	-0.126	-0.037	-2.566	1.125e-02	1.000e+00	-0.000	-3.607
NKX2-2	-0.243	-0.044	-4.399	1.582e-05	9.916e-03	2.004	0.019	-0.017	0.692	4.899e-01	1.000e+00	-0.000	-3.707
EHF	-0.308	-0.086	-1.702	9.010e-02	1.000e+00	-0.000	-0.375	-0.108	-2.018	4.564e-02	1.000e+00	-0.000	-3.720
NFE2L2	-0.182	-0.034	-2.510	1.278e-02	1.000e+00	-0.000	-0.030	0.051	-1.229	2.211e-01	1.000e+00	-0.000	-3.739
GLI3	-0.150	-0.005	-2.799	5.560e-03	1.000e+00	-0.000	0.059	0.109	-0.964	3.368e-01	1.000e+00	-0.000	-3.763
DEAF1	-0.161	-0.075	-2.336	2.034e-02	1.000e+00	-0.000	-0.048	0.010	-1.438	1.529e-01	1.000e+00	-0.000	-3.774
SOX11	-0.207	-0.014	-3.543	4.687e-04	2.939e-01	0.532	-0.022	-0.007	-0.262	7.934e-01	1.000e+00	-0.000	-3.805
STAT2	0.086	0.104	-0.239	8.115e-01	1.000e+00	-0.000	-0.643	-0.253	-3.605	4.661e-04	2.923e-01	0.534	-3.844
XRCC5	0.035	0.119	-0.886	3.765e-01	1.000e+00	-0.000	-0.244	0.079	-3.013	3.034e-03	1.000e+00	-0.000	-3.899
SP100	0.035	0.119	-0.886	3.765e-01	1.000e+00	-0.000	-0.244	0.079	-3.013	3.034e-03	1.000e+00	-0.000	-3.899
SOX10	-0.033	0.003	-0.560	5.757e-01	1.000e+00	-0.000	-0.173	0.030	-3.394	8.801e-04	5.518e-01	0.258	-3.954
MAFA	-0.213	-0.185	-0.386	6.996e-01	1.000e+00	-0.000	-0.317	-0.012	-3.634	3.980e-04	2.496e-01	0.603	-4.020
ELF4	-0.388	0.205	-4.846	2.195e-06	1.376e-03	2.861	0.116	0.012	0.814	4.172e-01	1.000e+00	-0.000	-4.032
CIITA	-0.210	0.035	-2.428	1.599e-02	1.000e+00	-0.000	-0.027	0.169	-1.719	8.800e-02	1.000e+00	-0.000	-4.147
HOXC13	-0.111	-0.118	0.116	9.074e-01	1.000e+00	-0.000	-0.399	-0.121	-4.286	3.183e-05	1.996e-02	1.700	-4.170
HSF4	-0.221	-0.031	-3.254	1.287e-03	8.069e-01	0.093	-0.020	0.045	-0.946	3.459e-01	1.000e+00	-0.000	-4.200
CBFA2T3	-0.281	-0.243	-0.358	7.205e-01	1.000e+00	-0.000	-0.581	-0.165	-3.916	1.319e-04	8.271e-02	1.082	-4.274
ZBTB14	0.305	0.319	-0.128	8.981e-01	1.000e+00	-0.000	-0.530	-0.004	-4.147	6.785e-05	4.254e-02	1.371	-4.275
SND1	-0.520	-0.258	-2.365	1.887e-02	1.000e+00	-0.000	-0.240	0.026	-1.982	4.986e-02	1.000e+00	-0.000	-4.347
DNMT3A	0.229	0.203	0.267	7.898e-01	1.000e+00	-0.000	-0.525	0.003	-4.742	5.307e-06	3.328e-03	2.478	-4.475
ZNF143	-0.448	-0.267	-2.173	3.098e-02	1.000e+00	-0.000	-0.433	-0.248	-2.317	2.236e-02	1.000e+00	-0.000	-4.490
NFKB2	-0.146	-0.035	-1.176	2.403e-01	1.000e+00	-0.000	-0.428	-0.087	-3.339	1.066e-03	6.683e-01	0.175	-4.515
ZNF267	-0.082	0.047	-1.093	2.754e-01	1.000e+00	-0.000	-0.527	-0.005	-3.428	8.278e-04	5.190e-01	0.285	-4.521
SP1	-0.146	-0.047	-1.278	2.025e-01	1.000e+00	-0.000	-0.243	0.082	-3.294	1.267e-03	7.945e-01	0.100	-4.572
FOXE1	-0.521	0.018	-3.968	9.492e-05	5.952e-02	1.225	0.221	0.316	-0.629	5.306e-01	1.000e+00	-0.000	-4.597
SMAD3	-0.181	0.048	-2.223	2.716e-02	1.000e+00	-0.000	-0.328	-0.041	-2.389	1.864e-02	1.000e+00	-0.000	-4.612
CTCF	-0.227	-0.086	-1.961	5.099e-02	1.000e+00	-0.000	-0.202	0.036	-2.710	7.636e-03	1.000e+00	-0.000	-4.671
HDAC7	-0.048	0.226	-3.464	6.149e-04	3.855e-01	0.414	-0.077	0.028	-1.217	2.257e-01	1.000e+00	-0.000	-4.681
FOXA1	-0.442	-0.131	-3.782	1.935e-04	1.213e-01	0.916	-0.215	-0.136	-1.038	3.009e-01	1.000e+00	-0.000	-4.820
ESR1	-0.445	-0.220	-2.508	1.279e-02	1.000e+00	-0.000	-0.417	-0.138	-2.320	2.208e-02	1.000e+00	-0.000	-4.828
PIAS4	-0.370	-0.024	-3.716	2.688e-04	1.686e-01	0.773	-0.342	-0.228	-1.115	2.668e-01	1.000e+00	-0.000	-4.831
KLF12	-0.340	-0.189	-2.120	3.488e-02	1.000e+00	-0.000	-0.251	0.012	-2.717	7.562e-03	1.000e+00	-0.000	-4.837
KLF5	-0.750	-0.497	-2.102	3.661e-02	1.000e+00	-0.000	-0.763	-0.313	-2.762	6.739e-03	1.000e+00	-0.000	-4.864
SIX1	-0.335	0.049	-3.636	3.374e-04	2.116e-01	0.675	-0.182	-0.045	-1.242	2.166e-01	1.000e+00	-0.000	-4.878
MEIS1	-0.157	-0.067	-0.976	3.299e-01	1.000e+00	-0.000	-0.412	0.026	-3.987	1.114e-04	6.983e-02	1.156	-4.963
EAPP	-0.545	-0.217	-2.991	3.035e-03	1.000e+00	-0.000	-0.053	0.176	-1.984	4.933e-02	1.000e+00	-0.000	-4.975
NR4A2	-0.215	0.116	-2.213	2.793e-02	1.000e+00	-0.000	-0.256	0.137	-2.780	6.239e-03	1.000e+00	-0.000	-4.993
KLF16	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
NFIA	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
ZBTB17	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
CBX8	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
ZBTB5	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
FOXG1	-1.013	-0.714	-2.356	1.935e-02	1.000e+00	-0.000	-0.494	-0.132	-2.678	8.535e-03	1.000e+00	-0.000	-5.034
EGR1	-0.232	-0.035	-2.240	2.611e-02	1.000e+00	-0.000	-0.342	0.016	-2.802	6.007e-03	1.000e+00	-0.000	-5.042
TCF4	-0.568	-0.387	-2.009	4.573e-02	1.000e+00	-0.000	-0.510	-0.168	-3.036	2.995e-03	1.000e+00	-0.000	-5.045
EAF1	-0.146	-0.034	-3.706	2.596e-04	1.628e-01	0.788	-0.103	-0.057	-1.356	1.775e-01	1.000e+00	-0.000	-5.062
BCL6	-0.150	-0.075	-0.853	3.947e-01	1.000e+00	-0.000	-0.420	-0.051	-4.245	4.091e-05	2.565e-02	1.591	-5.098
MEN1	-0.140	0.151	-3.131	1.987e-03	1.000e+00	-0.000	-0.420	-0.232	-1.970	5.103e-02	1.000e+00	-0.000	-5.101
TRERF1	-0.391	-0.144	-2.296	2.241e-02	1.000e+00	-0.000	-0.183	0.135	-2.812	5.638e-03	1.000e+00	-0.000	-5.108
FOXH1	-0.358	-0.189	-2.006	4.607e-02	1.000e+00	-0.000	-0.376	-0.103	-3.117	2.197e-03	1.000e+00	-0.000	-5.123
NCOA2	-0.358	-0.189	-2.006	4.607e-02	1.000e+00	-0.000	-0.376	-0.103	-3.117	2.197e-03	1.000e+00	-0.000	-5.123
URI1	-0.358	-0.189	-2.006	4.607e-02	1.000e+00	-0.000	-0.376	-0.103	-3.117	2.197e-03	1.000e+00	-0.000	-5.123
HEYL	-0.358	-0.189	-2.006	4.607e-02	1.000e+00	-0.000	-0.376	-0.103	-3.117	2.197e-03	1.000e+00	-0.000	-5.123
THRB	-0.285	0.173	-3.980	8.965e-05	5.621e-02	1.250	0.093	0.235	-1.154	2.505e-01	1.000e+00	-0.000	-5.134
HOXD9	-0.113	-0.029	-2.794	5.594e-03	1.000e+00	-0.000	-0.133	-0.057	-2.349	2.030e-02	1.000e+00	-0.000	-5.143
ARNTL2	-0.393	-0.158	-2.179	3.021e-02	1.000e+00	-0.000	-0.504	-0.190	-3.040	2.805e-03	1.000e+00	-0.000	-5.219
ID2	-0.360	-0.076	-4.943	1.413e-06	8.860e-04	3.053	-0.040	-0.023	-0.308	7.586e-01	1.000e+00	-0.000	-5.251
SNAI2	-0.515	-0.215	-2.927	3.741e-03	1.000e+00	-0.000	-0.479	-0.142	-2.401	1.796e-02	1.000e+00	-0.000	-5.328
FOXF2	0.002	0.113	-0.909	3.642e-01	1.000e+00	-0.000	-0.820	-0.234	-4.497	1.463e-05	9.173e-03	2.037	-5.406
FOXL2	-0.740	-0.071	-4.962	1.447e-06	9.074e-04	3.042	0.297	0.369	-0.538	5.913e-01	1.000e+00	-0.000	-5.500
NFKBIA	-0.267	-0.071	-2.127	3.437e-02	1.000e+00	-0.000	-0.191	0.137	-3.414	8.312e-04	5.212e-01	0.283	-5.541
SATB2	-0.208	-0.026	-2.706	7.245e-03	1.000e+00	-0.000	-0.096	0.148	-2.848	5.151e-03	1.000e+00	-0.000	-5.554
KCNIP3	-0.096	-0.017	-2.078	3.862e-02	1.000e+00	-0.000	-0.209	-0.049	-3.486	6.650e-04	4.169e-01	0.380	-5.564
GTF2I	-0.486	-0.098	-4.327	2.260e-05	1.417e-02	1.849	-0.137	-0.030	-1.244	2.160e-01	1.000e+00	-0.000	-5.571
POU2AF1	-0.527	-0.251	-2.780	5.854e-03	1.000e+00	-0.000	-0.660	-0.348	-2.800	5.968e-03	1.000e+00	-0.000	-5.580
TBX21	-0.097	-0.008	-1.778	7.646e-02	1.000e+00	-0.000	-0.247	-0.014	-3.843	1.953e-04	1.225e-01	0.912	-5.621
IKZF1	-0.132	0.018	-1.678	9.463e-02	1.000e+00	-0.000	-0.395	-0.005	-4.065	8.141e-05	5.104e-02	1.292	-5.743
SP2	-0.036	0.380	-3.456	6.437e-04	4.036e-01	0.394	-0.247	0.083	-2.320	2.192e-02	1.000e+00	-0.000	-5.776
XBP1	-0.537	-0.300	-2.753	6.420e-03	1.000e+00	-0.000	-0.387	-0.140	-3.090	2.417e-03	1.000e+00	-0.000	-5.843
RFWD2	-0.341	0.097	-2.479	1.398e-02	1.000e+00	-0.000	-0.463	0.071	-3.397	9.120e-04	5.718e-01	0.243	-5.876
HES6	-0.194	0.090	-3.470	6.143e-04	3.852e-01	0.414	-0.163	0.071	-2.427	1.666e-02	1.000e+00	-0.000	-5.897
CITED2	-0.357	0.123	-3.206	1.517e-03	9.510e-01	0.022	-0.353	0.077	-2.706	7.690e-03	1.000e+00	-0.000	-5.912
RELB	-0.292	0.025	-2.684	7.723e-03	1.000e+00	-0.000	-0.356	0.079	-3.232	1.552e-03	9.729e-01	0.012	-5.916
PARP1	-0.516	-0.103	-5.774	2.094e-08	1.313e-05	4.882	0.005	0.018	-0.158	8.746e-01	1.000e+00	-0.000	-5.932
MLLT10	-1.030	-0.629	-3.304	1.113e-03	6.977e-01	0.156	-0.459	-0.137	-2.748	6.927e-03	1.000e+00	-0.000	-6.052
ZNF76	-0.784	-0.538	-2.546	1.158e-02	1.000e+00	-0.000	-0.485	-0.145	-3.536	5.876e-04	3.684e-01	0.434	-6.082
LIMD1	-0.055	0.082	-1.595	1.119e-01	1.000e+00	-0.000	-0.360	0.043	-4.547	1.060e-05	6.645e-03	2.178	-6.142
MYOD1	-0.154	0.075	-2.454	1.501e-02	1.000e+00	-0.000	-0.391	-0.008	-3.705	3.327e-04	2.086e-01	0.681	-6.159
NOTCH3	-0.209	0.119	-2.754	6.301e-03	1.000e+00	-0.000	-0.560	-0.085	-3.441	7.941e-04	4.979e-01	0.303	-6.195
DEK	-0.249	-0.017	-5.316	2.107e-07	1.321e-04	3.879	-0.076	-0.028	-0.889	3.754e-01	1.000e+00	-0.000	-6.205
TRIB3	-0.529	0.002	-5.071	8.445e-07	5.295e-04	3.276	-0.123	-0.002	-1.152	2.516e-01	1.000e+00	-0.000	-6.223
CDCA7L	-0.514	-0.156	-2.839	4.900e-03	1.000e+00	-0.000	-0.370	0.118	-3.393	9.162e-04	5.744e-01	0.241	-6.232
HEY2	-0.597	0.001	-5.274	2.913e-07	1.826e-04	3.738	0.089	0.194	-0.971	3.337e-01	1.000e+00	-0.000	-6.245
FLI1	-0.137	0.031	-1.950	5.238e-02	1.000e+00	-0.000	-0.264	0.125	-4.312	3.249e-05	2.037e-02	1.691	-6.262
POU2F1	-0.196	-0.236	0.475	6.355e-01	1.000e+00	-0.000	-0.629	-0.136	-6.776	4.696e-10	2.945e-07	6.531	-6.301
BMI1	-0.232	0.093	-3.454	6.678e-04	4.187e-01	0.378	-0.245	0.086	-2.853	5.059e-03	1.000e+00	-0.000	-6.307
SALL4A	-0.116	0.245	-3.440	6.765e-04	4.241e-01	0.372	-0.168	0.255	-3.050	2.810e-03	1.000e+00	-0.000	-6.490
TBX3	-0.942	-0.468	-5.054	7.851e-07	4.923e-04	3.308	-0.165	-0.003	-1.436	1.534e-01	1.000e+00	-0.000	-6.490
TBX2	-0.942	-0.468	-5.054	7.851e-07	4.923e-04	3.308	-0.165	-0.003	-1.436	1.534e-01	1.000e+00	-0.000	-6.490
NRF1	-0.263	0.135	-4.299	2.563e-05	1.607e-02	1.794	-0.043	0.184	-2.194	2.998e-02	1.000e+00	-0.000	-6.493
HDAC3	-0.521	-0.046	-4.372	1.830e-05	1.147e-02	1.940	0.004	0.223	-2.143	3.428e-02	1.000e+00	-0.000	-6.515
EGR2	-0.570	-0.193	-4.322	2.206e-05	1.383e-02	1.859	-0.426	-0.198	-2.204	2.940e-02	1.000e+00	-0.000	-6.526
MYB	-0.486	-0.220	-3.007	2.878e-03	1.000e+00	-0.000	-0.797	-0.376	-3.657	3.779e-04	2.369e-01	0.625	-6.664
TNFAIP3	-0.512	-0.142	-4.223	3.572e-05	2.240e-02	1.650	-0.368	-0.139	-2.444	1.600e-02	1.000e+00	-0.000	-6.667
AATF	-0.222	0.050	-2.245	2.589e-02	1.000e+00	-0.000	-0.743	-0.140	-4.555	1.442e-05	9.040e-03	2.044	-6.800
NR2E3	-0.074	-0.023	-2.126	3.453e-02	1.000e+00	-0.000	-0.141	-0.019	-4.777	4.590e-06	2.878e-03	2.541	-6.903
NR0B1	-0.323	0.075	-3.871	1.347e-04	8.444e-02	1.073	-0.193	0.185	-3.057	2.726e-03	1.000e+00	-0.000	-6.928
CEBPD	-0.857	-0.287	-5.802	1.986e-08	1.245e-05	4.905	-0.239	-0.110	-1.188	2.370e-01	1.000e+00	-0.000	-6.990
MYBL2	0.066	0.220	-1.335	1.837e-01	1.000e+00	-0.000	-1.115	-0.224	-5.660	1.642e-07	1.029e-04	3.987	-6.995
NR1I2	-0.595	-0.134	-4.394	1.791e-05	1.123e-02	1.950	-0.225	0.052	-2.660	8.805e-03	1.000e+00	-0.000	-7.054
RFX3	-0.284	-0.118	-3.063	2.490e-03	1.000e+00	-0.000	-0.275	-0.094	-4.000	1.025e-04	6.429e-02	1.192	-7.063
JUND	-0.166	0.133	-3.252	1.395e-03	8.748e-01	0.058	-0.363	-0.056	-3.841	1.815e-04	1.138e-01	0.944	-7.093
IRF4	-0.454	-0.120	-4.120	5.139e-05	3.222e-02	1.492	-0.509	-0.242	-3.001	3.223e-03	1.000e+00	-0.000	-7.121
E2F3	-0.098	0.323	-4.163	4.586e-05	2.875e-02	1.541	-0.457	-0.058	-2.981	3.589e-03	1.000e+00	-0.000	-7.144
LMO2	-0.165	-0.062	-1.477	1.409e-01	1.000e+00	-0.000	-0.559	0.058	-5.677	9.481e-08	5.945e-05	4.226	-7.154
SREBF1	-0.108	-0.001	-1.235	2.177e-01	1.000e+00	-0.000	-0.615	0.098	-5.961	2.443e-08	1.531e-05	4.815	-7.196
SREBF2	-0.350	-0.064	-3.849	1.536e-04	9.631e-02	1.016	-0.427	-0.162	-3.361	1.008e-03	6.321e-01	0.199	-7.210
DENND4A	-0.431	-0.040	-4.619	6.989e-06	4.382e-03	2.358	-0.698	-0.358	-2.631	9.891e-03	1.000e+00	-0.000	-7.250
RREB1	-0.466	-0.144	-3.611	3.696e-04	2.317e-01	0.635	-0.442	-0.032	-3.702	3.180e-04	1.994e-01	0.700	-7.313
FOXP1	-0.466	-0.144	-3.611	3.696e-04	2.317e-01	0.635	-0.442	-0.032	-3.702	3.180e-04	1.994e-01	0.700	-7.313
ILF3	-0.565	-0.266	-3.850	1.592e-04	9.981e-02	1.001	-0.499	-0.185	-3.506	6.568e-04	4.118e-01	0.385	-7.356
PER1	-0.483	-0.063	-5.675	3.467e-08	2.174e-05	4.663	-0.117	0.038	-1.765	8.014e-02	1.000e+00	-0.000	-7.440
ZEB2	-0.684	-0.090	-5.904	1.141e-08	7.152e-06	5.146	-0.308	-0.131	-1.543	1.252e-01	1.000e+00	-0.000	-7.447
HOXC6	-0.330	0.074	-2.969	3.318e-03	1.000e+00	-0.000	-0.999	-0.074	-4.597	1.083e-05	6.790e-03	2.168	-7.566
HOXB7	-0.770	-0.261	-4.051	7.108e-05	4.457e-02	1.351	-0.556	-0.135	-3.558	5.241e-04	3.286e-01	0.483	-7.609
FOXI1	-0.201	0.030	-4.196	3.693e-05	2.316e-02	1.635	-0.373	-0.060	-3.585	5.045e-04	3.163e-01	0.500	-7.781
PAX4	-0.145	0.103	-2.491	1.331e-02	1.000e+00	-0.000	-0.661	0.051	-5.316	4.600e-07	2.884e-04	3.540	-7.807
HEY1	-0.471	0.039	-4.433	1.386e-05	8.693e-03	2.061	-0.228	0.214	-3.402	9.184e-04	5.758e-01	0.240	-7.835
GCM2	-0.213	-0.087	-4.160	4.613e-05	2.892e-02	1.539	-0.149	-0.014	-3.680	3.513e-04	2.203e-01	0.657	-7.840
PBX1	-0.487	-0.064	-5.319	2.446e-07	1.534e-04	3.814	-0.291	-0.064	-2.523	1.295e-02	1.000e+00	-0.000	-7.842
FOSB	-0.616	-0.347	-2.443	1.524e-02	1.000e+00	-0.000	-0.847	-0.043	-5.526	1.712e-07	1.073e-04	3.969	-7.969
ZNF300	-0.692	-0.257	-3.009	2.959e-03	1.000e+00	-0.000	-0.886	-0.164	-4.964	2.514e-06	1.577e-03	2.802	-7.973
STAT5	-0.602	-0.189	-3.961	9.714e-05	6.091e-02	1.215	-0.822	-0.339	-4.024	9.742e-05	6.108e-02	1.214	-7.985
SSB	-0.592	-0.098	-6.178	2.280e-09	1.430e-06	5.845	-0.015	0.167	-2.008	4.661e-02	1.000e+00	-0.000	-8.186
PER2	-0.587	-0.025	-4.531	8.622e-06	5.406e-03	2.267	-0.568	0.154	-3.664	3.772e-04	2.365e-01	0.626	-8.195
SUZ12	-0.587	-0.025	-4.531	8.622e-06	5.406e-03	2.267	-0.568	0.154	-3.664	3.772e-04	2.365e-01	0.626	-8.195
