TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
HOPX	-0.08546414908138654	-0.17684084855113164	0.6285042572780785	0.5307848306405432	1.0	-0.0
TP73	0.17931831633512368	0.11150844840150878	0.592761950261523	0.5544884733945317	1.0	-0.0
KAT2B	0.10117923953288506	0.05624469506894992	0.5658577697072997	0.5723528269138567	1.0	-0.0
MBD1	0.1080613730622679	0.054986603556494935	0.5476666927442276	0.5848949040820652	1.0	-0.0
TFAP2C	0.06829684656784035	0.004038254628766314	0.5431276959727792	0.5879933784951253	1.0	-0.0
DAXX	0.11170551562924011	0.08733670071967474	0.5328266975887895	0.5950944380489935	1.0	-0.0
ETS1	-0.07783927657056851	-0.14812444034602135	0.5281194801940058	0.5984476530688185	1.0	-0.0
SIRT2	-0.1100611256019618	-0.17119543538026188	0.522531549910658	0.6022343096709375	1.0	-0.0
DR1	-0.16461347917462413	-0.21636186669381818	0.5203164016702657	0.6038847339108415	1.0	-0.0
PAX3	0.08104842592970876	0.03644852094029337	0.508796879666292	0.611866982538886	1.0	-0.0
PA2G4	0.16869156918457542	0.0930122600795873	0.4958005750948192	0.6208921063169652	1.0	-0.0
FOXP2	0.07668880452289385	0.02506730640439058	0.4780027998358656	0.6334683409170767	1.0	-0.0
PAX5	0.05694621667942487	0.014950148626508628	0.46835989973843417	0.6403020714673449	1.0	-0.0
NFKB1	-0.2085625305058005	-0.2667418582519458	0.4625316785287823	0.64457770994977	1.0	-0.0
ARNTL	0.18706476426601645	0.12390253190074292	0.43139489758061256	0.6669612729390852	1.0	-0.0
DLX3	-0.19448385168402424	-0.24644259052178416	0.4282342661708911	0.669188418570134	1.0	-0.0
ONECUT2	0.17189571463723857	0.12991843359768565	0.4192450268125694	0.6756470256171938	1.0	-0.0
IKBKB	-0.05755759669440879	-0.1029432259389993	0.4163832950235864	0.6776743953669798	1.0	-0.0
ELK3	0.051941522064464535	0.027657508729552104	0.3990762625811124	0.6904068890306583	1.0	-0.0
TFCP2	-0.045087387365450676	-0.09912906982574532	0.36465112349636486	0.7159678490926888	1.0	-0.0
FUS	0.101816388887928	0.07363148879179755	0.3589736192690975	0.7202166757073705	1.0	-0.0
TBP	0.08090210011054973	0.05027553028896108	0.34643461838471223	0.7295519036810003	1.0	-0.0
PAX8	0.01400877876492385	-0.012420857711869352	0.3077825406844764	0.7586838810362626	1.0	-0.0
NFATC3	0.28629340669046277	0.23728803486679173	0.304941126937535	0.7609024882412647	1.0	-0.0
CREB3	0.006125669468295081	-0.03738638495544498	0.29786583423727636	0.7663408846178427	1.0	-0.0
BACH2	-0.016545504992458267	-0.049014438055858964	0.2543775722239757	0.7997262056173553	1.0	-0.0
GBX2	0.18279781772582	0.1541984183383516	0.24686914412304706	0.8053665182676438	1.0	-0.0
ZMYND11	0.18279781772582	0.1541984183383516	0.24686914412304706	0.8053665182676438	1.0	-0.0
HOXA5	0.0466799451046659	0.025130130134677454	0.23273015815782147	0.8163487216360803	1.0	-0.0
ESRRG	-0.0034124103118753045	-0.019526410645152825	0.22110239227022202	0.8253241333584402	1.0	-0.0
PIAS2	0.14004999533776097	0.12148957653891429	0.19593760738693292	0.8449164397735894	1.0	-0.0
LMX1B	-0.169508856553601	-0.18458135629155334	0.1777318454872366	0.8591866925488401	1.0	-0.0
NANOG	0.10112263813794489	0.08980916554259044	0.1268234599081203	0.8992723695897878	1.0	-0.0
CLOCK	0.07736360161669513	0.07005999775575474	0.06889623866393906	0.9451741785646977	1.0	-0.0
KLF13	0.04036040189545028	0.036525398123381035	0.05558212942225763	0.9557628187505995	1.0	-0.0
PAX6	-0.13190742308716222	-0.13587926010463083	0.039772727273673064	0.9683284381862409	1.0	-0.0
NKX2-1	0.07070469047390127	0.06897861946966871	0.0195176593730487	0.984460713088094	1.0	-0.0
HDAC2	0.042992419943230796	0.04743562139988675	-0.05074120521003213	0.9596010898070296	1.0	-0.0
MLLT3	-0.06429208783518095	-0.05626043921599743	-0.06751798358323469	0.9462912135413337	1.0	-0.0
ELL	-0.08685256808109279	-0.07691445713372286	-0.08711442162587665	0.9307393959348019	1.0	-0.0
ABL1	-0.05918576733955046	-0.0518007258551131	-0.08803237957428203	0.9299667731006633	1.0	-0.0
DLX5	-0.02602527130992342	-0.01208857083330648	-0.10355135998169508	0.917710858504978	1.0	-0.0
TAF4	-0.06162811124130865	-0.05790025892916181	-0.11571479567886014	0.9080373647156563	1.0	-0.0
HINFP	0.028074910032519832	0.03308605199566899	-0.1262321590242221	0.899710227263369	1.0	-0.0
HDAC5	-0.06320392236482131	-0.052708518475596725	-0.1322933525244794	0.8949392339159348	1.0	-0.0
HOXC10	0.04972065492892743	0.05523355063331925	-0.14865464069010859	0.8820403102846267	1.0	-0.0
HOXC9	0.04972065492892743	0.05523355063331925	-0.14865464069010859	0.8820403102846267	1.0	-0.0
PARP1	0.004917428696056381	0.017862331255532157	-0.15812436223769044	0.8745959912937914	1.0	-0.0
MAZ	-0.10658237888190539	-0.09179187561851844	-0.17089401529570694	0.8645785498709386	1.0	-0.0
RARA	-0.19866087956446807	-0.17418467383613426	-0.20085545457286888	0.8411483815154094	1.0	-0.0
ELF3	-0.062232800201210504	-0.03441362327592626	-0.23063185923993096	0.8179512896653883	1.0	-0.0
PHOX2B	-0.044165279109054385	-0.024516979207994297	-0.23350383091736224	0.8157097310494286	1.0	-0.0
SOX11	-0.02245464675330142	-0.007263672314720067	-0.26242604049824914	0.7933700013891343	1.0	-0.0
TRRAP	-0.2995009378756683	-0.2694987326636346	-0.26519657082799847	0.7912527061442561	1.0	-0.0
NR2F6	-0.0664400872149245	-0.05098605376680333	-0.28126403737165506	0.7789854630462745	1.0	-0.0
ID2	-0.04032774959034383	-0.022816720979439615	-0.30794671785459743	0.7585751120310508	1.0	-0.0
JUN	-0.14792302886961003	-0.10801552928682825	-0.34155349262066	0.733297977571848	1.0	-0.0
YY1	0.14076242810517822	0.16895887500047885	-0.34433838159543884	0.7311808833857179	1.0	-0.0
ZFHX3	0.06058628828859548	0.10139421800857479	-0.35418200095761104	0.7238805128431582	1.0	-0.0
