TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
TBP	0.32234777973628437	-0.0807632608055256	5.416942524074551	1.5306685035081782e-07	9.597291516996277e-05	4.0178513133341855
EWSR1	0.7780378841277911	0.11137695249994373	5.397622368615185	1.895685272219969e-07	0.00011885946656819206	3.924966223152439
CDX2	0.9095469346383044	0.24938737388337512	5.328313450431911	2.4229413003898277e-07	0.0001519184195344422	3.818389566379523
IRF8	0.3779811481763004	-0.052442342689595065	5.322850056331042	2.0530403847068644e-07	0.0001287256321211204	3.890334966845529
RUNX1	0.61768457781905	0.18781682351980225	5.294745938070042	2.879837228724518e-07	0.00018056579424102727	3.743364517474105
FOXP3	0.4882719876626305	0.16870211823680067	5.2927294472986555	2.4627850024233085e-07	0.00015441661965194143	3.8113059589569334
SUGP1	0.438099369553959	-0.11990672585700983	5.256985452929619	3.052991568730556e-07	0.00019142257135940587	3.718006854234805
KLF2	1.1094398995477415	0.5055694950270163	5.197143257946005	4.023340345485614e-07	0.000252263439661948	3.598145686872859
ASCL1	0.8948530106941496	0.3171733561385354	5.194546901161896	4.586045126188113e-07	0.0002875450294119947	3.5412941353436005
PURA	0.3512847152646166	-0.13525079826096328	5.0890357159034245	7.726516659336282e-07	0.0004844525945403849	3.314748713838793
CTBP1	0.6174651746066697	0.20225272072698397	5.02476847271867	9.808392087510204e-07	0.0006149861838868897	3.2111346408572414
ERCC2	0.890249000241705	0.41500124869830524	5.021102037790154	9.343080548944569e-07	0.0005858111504188245	3.2322423661483106
NFRKB	0.6609262835984514	0.1284599009286627	4.95371754795013	1.556832478749045e-06	0.0009761339641756512	3.0104905758683658
APBB1	0.6069992999772306	0.1938681401951194	4.949919490334899	1.5083106459661662e-06	0.0009457107750207863	3.0242416627714617
DR1	0.3901590875873111	0.02472760000031197	4.710009391248042	4.1240298117667635e-06	0.002585766691977761	2.5874106631206066
SOX4	0.33986979645455145	0.031133761381669133	4.707773505340487	4.5511172854346e-06	0.002853550537967494	2.5446144314500327
IRF7	0.4632480597188377	0.08124084358792454	4.687880297242984	4.791163005885791e-06	0.003004059204690391	2.522291512407894
